epoch,losses
86,"{'adv_total': 1.1202689111232758, 'adv_toward': 0.9884140491485596, 'adv_away': 0.1318548619747162, 'def_total': 5.366145551204681, 'def_toward': 3.1145248413085938, 'def_away': 1.7916579246520996, 'def_sft': 0.45996278524398804}"
87,"{'adv_total': 0.01955890515819192, 'adv_toward': 0.014688044786453247, 'adv_away': 0.004870860371738672, 'def_total': 13.50011819601059, 'def_toward': 6.752068996429443, 'def_away': 5.841734409332275, 'def_sft': 0.9063147902488708}"
88,"{'adv_total': 1.5817275494337082, 'adv_toward': 1.3477014303207397, 'adv_away': 0.23402611911296844, 'def_total': 4.974266767501831, 'def_toward': 2.6057989597320557, 'def_away': 1.3559638261795044, 'def_sft': 1.012503981590271}"
89,"{'adv_total': 0.8649775795638561, 'adv_toward': 0.8599057197570801, 'adv_away': 0.005071859806776047, 'def_total': 10.265837788581848, 'def_toward': 5.424412727355957, 'def_away': 3.8698978424072266, 'def_sft': 0.9715272188186646}"
90,"{'adv_total': 1.4672155976295471, 'adv_toward': 1.3140122890472412, 'adv_away': 0.1532033085823059, 'def_total': 4.624692678451538, 'def_toward': 2.945491075515747, 'def_away': 1.0112628936767578, 'def_sft': 0.6679387092590332}"
91,"{'adv_total': 0.10290063917636871, 'adv_toward': 0.0634067952632904, 'adv_away': 0.03949384391307831, 'def_total': 12.624259054660797, 'def_toward': 6.575560569763184, 'def_away': 5.265976428985596, 'def_sft': 0.7827220559120178}"
92,"{'adv_total': 0.9024155586957932, 'adv_toward': 0.8062535524368286, 'adv_away': 0.09616200625896454, 'def_total': 7.086449146270752, 'def_toward': 3.3188278675079346, 'def_away': 2.7880496978759766, 'def_sft': 0.9795715808868408}"
93,"{'adv_total': 0.049177734181284904, 'adv_toward': 0.043609049171209335, 'adv_away': 0.005568685010075569, 'def_total': 13.634667038917542, 'def_toward': 7.135826587677002, 'def_away': 5.4397172927856445, 'def_sft': 1.059123158454895}"
94,"{'adv_total': 0.965869203209877, 'adv_toward': 0.8366286158561707, 'adv_away': 0.12924058735370636, 'def_total': 7.292855978012085, 'def_toward': 3.468914747238159, 'def_away': 2.7709529399871826, 'def_sft': 1.0529882907867432}"
95,"{'adv_total': 0.07532916031777859, 'adv_toward': 0.050462305545806885, 'adv_away': 0.024866854771971703, 'def_total': 11.717719912528992, 'def_toward': 5.593207836151123, 'def_away': 5.21864652633667, 'def_sft': 0.9058655500411987}"
96,"{'adv_total': 1.3553074896335602, 'adv_toward': 1.1803674697875977, 'adv_away': 0.17494001984596252, 'def_total': 5.4532113671302795, 'def_toward': 3.4062294960021973, 'def_away': 1.2275251150131226, 'def_sft': 0.8194567561149597}"
97,"{'adv_total': 0.17755556851625443, 'adv_toward': 0.10190914571285248, 'adv_away': 0.07564642280340195, 'def_total': 10.001719117164612, 'def_toward': 4.763145446777344, 'def_away': 4.937806129455566, 'def_sft': 0.30076754093170166}"
98,"{'adv_total': 1.3428984582424164, 'adv_toward': 1.2218586206436157, 'adv_away': 0.12103983759880066, 'def_total': 5.630381286144257, 'def_toward': 3.3102450370788574, 'def_away': 1.4275994300842285, 'def_sft': 0.8925368189811707}"
99,"{'adv_total': 0.2670339345932007, 'adv_toward': 0.1901155412197113, 'adv_away': 0.07691839337348938, 'def_total': 8.178819358348846, 'def_toward': 4.46392822265625, 'def_away': 3.0140860080718994, 'def_sft': 0.700805127620697}"
