epoch,losses
85,"{'adv_total': 0.011029973160475492, 'adv_toward': 0.0056580789387226105, 'adv_away': 0.005371894221752882, 'def_total': 14.460209727287292, 'def_toward': 6.452950477600098, 'def_away': 6.945910453796387, 'def_sft': 1.061348795890808}"
86,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.8983688354492188}"
87,"{'adv_total': 2.7241535261273384, 'adv_toward': 2.656079053878784, 'adv_away': 0.06807447224855423, 'def_total': 4.300244241952896, 'def_toward': 3.421722173690796, 'def_away': 0.1646449863910675, 'def_sft': 0.7138770818710327}"
88,"{'adv_total': 1.6470707207918167, 'adv_toward': 1.4716200828552246, 'adv_away': 0.1754506379365921, 'def_total': 3.257133424282074, 'def_toward': 1.8882976770401, 'def_away': 0.920006275177002, 'def_sft': 0.4488294720649719}"
89,"{'adv_total': 1.7805474400520325, 'adv_toward': 1.5002150535583496, 'adv_away': 0.28033238649368286, 'def_total': 3.988319158554077, 'def_toward': 2.230311155319214, 'def_away': 0.8757744431495667, 'def_sft': 0.8822335600852966}"
90,"{'adv_total': 2.5655826330184937, 'adv_toward': 2.441229820251465, 'adv_away': 0.12435281276702881, 'def_total': 4.90284389257431, 'def_toward': 3.288222312927246, 'def_away': 0.27705103158950806, 'def_sft': 1.3375705480575562}"
91,"{'adv_total': 0.013738763984292746, 'adv_toward': 0.007221707608550787, 'adv_away': 0.006517056375741959, 'def_total': 15.088784456253052, 'def_toward': 6.321460247039795, 'def_away': 7.547702789306641, 'def_sft': 1.2196214199066162}"
92,"{'adv_total': 0.7255670949816704, 'adv_toward': 0.6509421467781067, 'adv_away': 0.07462494820356369, 'def_total': 8.970231235027313, 'def_toward': 5.567441940307617, 'def_away': 2.481011152267456, 'def_sft': 0.92177814245224}"
93,"{'adv_total': 1.46034274995327, 'adv_toward': 1.2873846292495728, 'adv_away': 0.1729581207036972, 'def_total': 4.772372186183929, 'def_toward': 2.8903088569641113, 'def_away': 1.013476848602295, 'def_sft': 0.8685864806175232}"
94,"{'adv_total': 0.21299368049949408, 'adv_toward': 0.19766776263713837, 'adv_away': 0.015325917862355709, 'def_total': 11.830073952674866, 'def_toward': 6.519354820251465, 'def_away': 4.229824066162109, 'def_sft': 1.0808950662612915}"
95,"{'adv_total': 0.03734735492616892, 'adv_toward': 0.031523074954748154, 'adv_away': 0.005824279971420765, 'def_total': 13.304126560688019, 'def_toward': 6.592764854431152, 'def_away': 5.782871723175049, 'def_sft': 0.9284899830818176}"
96,"{'adv_total': 0.07760673854500055, 'adv_toward': 0.06380350887775421, 'adv_away': 0.013803229667246342, 'def_total': 11.910390734672546, 'def_toward': 5.07948637008667, 'def_away': 6.245370388031006, 'def_sft': 0.5855339765548706}"
97,"{'adv_total': 1.9197821617126465, 'adv_toward': 1.6363184452056885, 'adv_away': 0.283463716506958, 'def_total': 3.3359515368938446, 'def_toward': 1.7497667074203491, 'def_away': 0.4993910491466522, 'def_sft': 1.0867937803268433}"
98,"{'adv_total': 0.006022808374837041, 'adv_toward': 0.0030517578125, 'adv_away': 0.002971050562337041, 'def_total': 15.649087309837341, 'def_toward': 6.719248294830322, 'def_away': 7.759451866149902, 'def_sft': 1.1703871488571167}"
99,"{'adv_total': 1.0767354220151901, 'adv_toward': 0.9735614061355591, 'adv_away': 0.10317401587963104, 'def_total': 5.700561344623566, 'def_toward': 2.7927608489990234, 'def_away': 1.9939262866973877, 'def_sft': 0.9138742089271545}"
