epoch,losses
84,"{'adv_total': 0.19749943912029266, 'adv_toward': 0.15870237350463867, 'adv_away': 0.03879706561565399, 'def_total': 9.356221616268158, 'def_toward': 4.914464473724365, 'def_away': 3.51125168800354, 'def_sft': 0.9305054545402527}"
85,"{'adv_total': 0.5584439188241959, 'adv_toward': 0.44674113392829895, 'adv_away': 0.11170278489589691, 'def_total': 7.054033398628235, 'def_toward': 3.6847877502441406, 'def_away': 2.592398166656494, 'def_sft': 0.7768474817276001}"
86,"{'adv_total': 0.3841279000043869, 'adv_toward': 0.2949148714542389, 'adv_away': 0.08921302855014801, 'def_total': 8.230735182762146, 'def_toward': 4.209690570831299, 'def_away': 2.966279983520508, 'def_sft': 1.0547646284103394}"
87,"{'adv_total': 0.5032128244638443, 'adv_toward': 0.4035094976425171, 'adv_away': 0.09970332682132721, 'def_total': 6.606709063053131, 'def_toward': 3.7770326137542725, 'def_away': 2.228348731994629, 'def_sft': 0.6013277173042297}"
88,"{'adv_total': 0.18027335032820702, 'adv_toward': 0.150052011013031, 'adv_away': 0.03022133931517601, 'def_total': 10.213818967342377, 'def_toward': 5.322194576263428, 'def_away': 4.00534200668335, 'def_sft': 0.8862823843955994}"
89,"{'adv_total': 0.6424693316221237, 'adv_toward': 0.5872830748558044, 'adv_away': 0.055186256766319275, 'def_total': 7.555992007255554, 'def_toward': 3.9485583305358887, 'def_away': 2.646008253097534, 'def_sft': 0.9614254236221313}"
90,"{'adv_total': 0.6431699097156525, 'adv_toward': 0.5707012414932251, 'adv_away': 0.07246866822242737, 'def_total': 6.3946133852005005, 'def_toward': 3.3651657104492188, 'def_away': 2.4039461612701416, 'def_sft': 0.6255015134811401}"
91,"{'adv_total': 0.6072963699698448, 'adv_toward': 0.5332109332084656, 'adv_away': 0.07408543676137924, 'def_total': 6.037792503833771, 'def_toward': 3.596383810043335, 'def_away': 1.779769778251648, 'def_sft': 0.6616389155387878}"
92,"{'adv_total': 0.45899247378110886, 'adv_toward': 0.3341808319091797, 'adv_away': 0.12481164187192917, 'def_total': 7.914951801300049, 'def_toward': 3.9039466381073, 'def_away': 2.802778959274292, 'def_sft': 1.208226203918457}"
93,"{'adv_total': 0.7666919976472855, 'adv_toward': 0.7475369572639465, 'adv_away': 0.019155040383338928, 'def_total': 7.300027251243591, 'def_toward': 3.6208415031433105, 'def_away': 2.764833927154541, 'def_sft': 0.9143518209457397}"
94,"{'adv_total': 0.9349803328514099, 'adv_toward': 0.7743229866027832, 'adv_away': 0.1606573462486267, 'def_total': 5.692665994167328, 'def_toward': 2.9200968742370605, 'def_away': 1.8575283288955688, 'def_sft': 0.9150407910346985}"
95,"{'adv_total': 0.4586000554263592, 'adv_toward': 0.4097192585468292, 'adv_away': 0.04888079687952995, 'def_total': 8.168126165866852, 'def_toward': 4.641762733459473, 'def_away': 2.5593667030334473, 'def_sft': 0.9669967293739319}"
96,"{'adv_total': 0.822304368019104, 'adv_toward': 0.6868839859962463, 'adv_away': 0.13542038202285767, 'def_total': 5.987894535064697, 'def_toward': 3.8302881717681885, 'def_away': 1.325192928314209, 'def_sft': 0.8324134349822998}"
97,"{'adv_total': 0.9213415011763573, 'adv_toward': 0.8063706755638123, 'adv_away': 0.11497082561254501, 'def_total': 5.732699394226074, 'def_toward': 3.2719247341156006, 'def_away': 1.9359018802642822, 'def_sft': 0.5248727798461914}"
98,"{'adv_total': 0.6594536304473877, 'adv_toward': 0.4805391728878021, 'adv_away': 0.17891445755958557, 'def_total': 7.249185800552368, 'def_toward': 3.876878261566162, 'def_away': 2.3691084384918213, 'def_sft': 1.0031991004943848}"
99,"{'adv_total': 1.4876709580421448, 'adv_toward': 1.3345413208007812, 'adv_away': 0.15312963724136353, 'def_total': 5.646817564964294, 'def_toward': 3.080963373184204, 'def_away': 1.4911327362060547, 'def_sft': 1.0747214555740356}"
